name;album;artist;played_at;date
Getting To Me;LONER;Caroline Rose;2025-02-07T07:47:32.213Z;2025-02-07
"""Listen to Your Heart."" ""No.""";Emphatically No.;Cheekface;2025-02-07T07:49:52.812Z;2025-02-07
The Queen of White Lies;Cosmicandy;The Orion Experience, ORION, Linda XO;2025-02-07T07:53:01.623Z;2025-02-07
Thunder Rumbles;Where The Angels Fall;The Cat Empire;2025-02-07T07:55:57.918Z;2025-02-07
Thank God I'm Not You;Thank God I'm Not You;HIMALAYAS;2025-02-07T07:59:13.046Z;2025-02-07
Lightning Bolt;Jake Bugg;Jake Bugg;2025-02-07T08:01:37.567Z;2025-02-07
Feel Good Inc.;Demon Days;Gorillaz;2025-02-07T08:05:20.734Z;2025-02-07
Song 2 - 2012 Remaster;Blur (Special Edition);Blur;2025-02-07T08:07:22.387Z;2025-02-07
QUEEN OF THE NIGHT;QUEEN OF THE NIGHT;The Vanished People;2025-02-07T08:10:06.908Z;2025-02-07
Obsessed With You;Cosmicandy;The Orion Experience, ORION, Linda XO;2025-02-07T08:13:34.057Z;2025-02-07
Get Mine;Crooked Finger;DAVIS;2025-02-07T08:17:06.789Z;2025-02-07
Broken Bones;A/B;KALEO;2025-02-07T08:21:13.276Z;2025-02-07
Watch It Crash;Streetlight Lullabies;Toh Kay;2025-02-07T08:24:52.239Z;2025-02-07
GHOSTRADE;GHOSTRADE;The Vanished People;2025-02-07T08:27:13.886Z;2025-02-07
On Top Of The World;Night Visions;Imagine Dragons;2025-02-07T08:30:26.659Z;2025-02-07
House;Secret Seed;Andrina Bollinger;2025-02-07T08:32:31.832Z;2025-02-07
Shut The Fuck Up And Let Go;Please, Save Yourself;Mira Lu Kovacs;2025-02-07T08:35:36.232Z;2025-02-07
Dirty;Death Of An Optimist;grandson;2025-02-07T08:39:05.014Z;2025-02-07
Sometimes;Swords;Nick Lutsko;2025-02-07T08:42:54.405Z;2025-02-07
I Like Birds;Daisies Of The Galaxy;Eels;2025-02-07T08:45:26.718Z;2025-02-07
Radioactive;Night Visions;Imagine Dragons;2025-02-07T09:04:27.104Z;2025-02-07
Kill him (he's a Socialist);Half-decent;Seb Lowe;2025-02-07T09:14:35.654Z;2025-02-07
Breed;Nevermind (Remastered);Nirvana;2025-02-08T14:51:26.269Z;2025-02-08
Off & On;Forgotten Pleasures;Findlay;2025-02-08T14:54:12.846Z;2025-02-08
Apply Some Pressure;A Certain Trigger;Maximo Park;2025-02-08T14:57:33.576Z;2025-02-08
Welcome to Paradise;Kerplunk;Green Day;2025-02-08T15:01:04.930Z;2025-02-08
Down in the Past;Hurricane Bar;Mando Diao;2025-02-08T15:05:03.487Z;2025-02-08
Bohemian Like You;Thirteen Tales From Urban Bohemia;The Dandy Warhols;2025-02-08T15:08:35.888Z;2025-02-08
Harder, Better, Faster, Stronger;Discovery;Daft Punk;2025-02-08T15:20:40.449Z;2025-02-08
Under My Carpet;Under My Carpet;Camrn;2025-02-08T16:58:05.036Z;2025-02-08
"""Listen to Your Heart."" ""No.""";Emphatically No.;Cheekface;2025-02-08T17:00:25.837Z;2025-02-08
Kill him (he's a Socialist);Half-decent;Seb Lowe;2025-02-08T17:02:02.200Z;2025-02-08
Eat Shit and Die;Have a Great Life.;Harley Poe;2025-02-08T17:13:58.212Z;2025-02-08
Under My Carpet;Under My Carpet;Camrn;2025-02-08T17:27:13.111Z;2025-02-08
"""Listen to Your Heart."" ""No.""";Emphatically No.;Cheekface;2025-02-08T17:29:33.705Z;2025-02-08
Kill him (he's a Socialist);Half-decent;Seb Lowe;2025-02-08T17:31:10.203Z;2025-02-08
Eat Shit and Die;Have a Great Life.;Harley Poe;2025-02-08T17:37:05.787Z;2025-02-08
Gimme My Money;Gimme My Money;Orange Dog Club;2025-02-08T17:41:01.287Z;2025-02-08
Under My Carpet;Under My Carpet;Camrn;2025-02-08T17:43:46.970Z;2025-02-08
"""Listen to Your Heart."" ""No.""";Emphatically No.;Cheekface;2025-02-08T17:50:49.684Z;2025-02-08
Eat Shit and Die;Have a Great Life.;Harley Poe;2025-02-08T17:56:46.218Z;2025-02-08
Under My Carpet;Under My Carpet;Camrn;2025-02-08T17:59:30.370Z;2025-02-08
"""Listen to Your Heart."" ""No.""";Emphatically No.;Cheekface;2025-02-08T18:01:51.023Z;2025-02-08
Gimme My Money;Gimme My Money;Orange Dog Club;2025-02-08T18:05:46.467Z;2025-02-08
Kill him (he's a Socialist);Half-decent;Seb Lowe;2025-02-08T18:07:22.692Z;2025-02-08
Eat Shit and Die;Have a Great Life.;Harley Poe;2025-02-08T18:13:18.491Z;2025-02-08
Under My Carpet;Under My Carpet;Camrn;2025-02-08T18:16:03.669Z;2025-02-08
"""Listen to Your Heart."" ""No.""";Emphatically No.;Cheekface;2025-02-08T18:18:24.341Z;2025-02-08
Gimme My Money;Gimme My Money;Orange Dog Club;2025-02-08T18:22:19.957Z;2025-02-08
Kill him (he's a Socialist);Half-decent;Seb Lowe;2025-02-08T18:28:18.097Z;2025-02-08
